exchange_pair,currency_pair
poloniex/binance,AUDIO/USDT
poloniex/binance,BSV/USDT
poloniex/binance,WNXM/USDT
poloniex/binance,BAT/BTC
poloniex/binance,NFP/USDT
poloniex/binance,AXS/USDT
poloniex/binance,GHST/USDT
poloniex/binance,GMX/USDT
poloniex/binance,PEPE/USDT
poloniex/binance,CVC/USDT
poloniex/binance,STPT/USDT
poloniex/binance,RLC/USDT
poloniex/binance,RPL/USDT
poloniex/binance,AKRO/USDT
poloniex/binance,KP3R/USDT
poloniex/binance,HFT/USDT
poloniex/binance,DAI/USDT
poloniex/binance,ETH/USDT
poloniex/binance,MDT/USDT
poloniex/binance,RDNT/USDT
poloniex/binance,DOGE/USDC
poloniex/binance,ATOM/USDC
poloniex/binance,ZRX/ETH
poloniex/binance,DOGE/BTC
poloniex/binance,XRPBULL/USDT
poloniex/binance,ADA/USDT
poloniex/binance,CVX/USDT
poloniex/binance,ACE/USDT
poloniex/binance,XVS/USDT
poloniex/binance,STEEM/BTC
poloniex/binance,QTUM/USDT
poloniex/binance,FTM/USDC
poloniex/binance,BAT/USDT
poloniex/binance,SANTOS/USDT
poloniex/binance,TORN/USDT
poloniex/binance,GFT/USDT
poloniex/binance,BCH/BTC
poloniex/binance,POLY/USDT
poloniex/binance,GALA/USDT
poloniex/binance,SHIB/USDT
poloniex/binance,BNX/USDT
poloniex/binance,JUP/USDT
poloniex/binance,NMR/USDT
poloniex/binance,GAS/BTC
poloniex/binance,GTC/USDT
poloniex/binance,UNI/USDT
poloniex/binance,AVAX/BTC
poloniex/binance,LAZIO/USDT
poloniex/binance,OMG/BTC
poloniex/binance,PYR/USDT
poloniex/binance,STX/USDT
poloniex/binance,BNB/USDT
poloniex/binance,ETC/USDT
poloniex/binance,CITY/USDT
poloniex/binance,DUSK/USDT
poloniex/binance,SC/BTC
poloniex/binance,HIFI/USDT
poloniex/binance,NMR/BTC
poloniex/binance,EOS/USDC
poloniex/binance,AKRO/BTC
poloniex/binance,WIN/USDT
poloniex/binance,WBTC/USDT
poloniex/binance,AAVE/USDT
poloniex/binance,RNDR/USDT
poloniex/binance,NEO/USDT
poloniex/binance,INJ/BTC
poloniex/binance,DCR/USDT
poloniex/binance,BAR/USDT
poloniex/binance,ASR/USDT
poloniex/binance,VOXEL/USDT
poloniex/binance,WRX/BTC
poloniex/binance,LOKA/USDT
poloniex/binance,WIN/TRX
poloniex/binance,AVAX/USDC
poloniex/binance,JUV/USDT
poloniex/binance,ETC/ETH
poloniex/binance,APT/USDT
poloniex/binance,DIA/USDT
poloniex/binance,BTT/TRX
poloniex/binance,AAVE/BTC
poloniex/binance,TRU/BTC
poloniex/binance,GAL/USDT
poloniex/binance,ZEC/BTC
